Set_Name,Theme,Pieces,Price,Pages,Unique_Pieces,Complexity
Mandalorian Battle Pack,Star Wars,102.0,14.99,44.0,59.0,normale
Playroom,DUPLO,17.0,14.99,2.0,16.0,enkle
Death Star Cannon,Star Wars,159.0,19.99,80.0,79.0,normale
Rainbow Fun,Classic,85.0,4.99,37.0,42.0,enkle
Han Solo,Star Wars,141.0,9.99,44.0,51.0,normale
Arctic Ice Glider,City,50.0,6.99,28.0,30.0,normale
Olaf,LEGO Frozen 2,122.0,14.99,52.0,61.0,normale
Spinjitzu Slam - Jay,NINJAGO,72.0,9.99,44.0,37.0,normale
Emma's Summer Heart Box,Friends,86.0,7.99,36.0,45.0,normale
Rainbow Jewellery Stand,DOTS,213.0,14.99,4.0,42.0,normale
Bedroom,DUPLO,16.0,14.99,2.0,16.0,enkle
Animal Picture Holders,DOTS,423.0,14.99,4.0,54.0,normale
Stephanie's Heart Box,Friends,85.0,7.99,32.0,36.0,normale
Andrea's Summer Heart Box,Friends,83.0,7.99,36.0,46.0,normale
Cole - Dragon Master,NINJAGO,92.0,14.99,48.0,54.0,normale
The Samurai Mech,NINJAGO,154.0,14.99,48.0,71.0,normale
Introducing Queen Watevra Wa'Nabi,THE LEGO MOVIE 2,115.0,19.99,48.0,82.0,normale
Ferrari F40 Competizione,Speed Champions,198.0,14.99,56.0,72.0,normale
Helicopter Adventure,Creator 3-in-1,114.0,9.99,92.0,68.0,avanserte
Spinjitzu Slam - Lloyd,NINJAGO,70.0,9.99,44.0,34.0,normale
Mia's Play Cube - Cinema,Friends,37.0,9.99,5.0,31.0,normale
Monastery Training,NINJAGO,122.0,9.99,40.0,65.0,normale
Systar Party Crew,THE LEGO MOVIE 2,196.0,19.99,80.0,104.0,normale
Party Time,Unikitty,214.0,19.99,80.0,119.0,enkle
Mulan's Storybook Adventures,Disney,124.0,19.99,3.0,72.0,normale
Toy Story Train,Disney,21.0,19.99,8.0,19.0,normale
Creative Suitcase,Classic,213.0,19.99,36.0,89.0,enkle
Carnival Thrill Coaster,Disney,98.0,19.99,44.0,56.0,normale
Expecto Patronum,Harry Potter,121.0,19.99,48.0,55.0,normale
Vulture's Trucker Robbery,Marvel,93.0,19.99,48.0,62.0,normale
Captain America: Outriders Attack,Marvel,167.0,19.99,52.0,75.0,normale
Cole's Dirt Bike,NINJAGO,212.0,19.99,56.0,97.0,normale
The Rise of Voldemort,Harry Potter,184.0,19.99,56.0,102.0,normale
Mia's Foal Stable ,Friends,118.0,19.99,64.0,66.0,normale
Welcome to the Hidden Side,Hidden Side,189.0,19.99,68.0,103.0,normale
The Chicken Coop,Minecraft,198.0,19.99,72.0,90.0,normale
The End Battle,Minecraft,222.0,19.99,72.0,91.0,normale
Construction Bulldozer,City,126.0,19.99,84.0,81.0,normale
Avengers Speeder Bike Attack,Marvel,226.0,19.99,104.0,97.0,normale
My First Ladybird,DUPLO,6.0,4.99,9.0,5.0,enkle
My First Car Creations,DUPLO,34.0,19.99,10.0,31.0,enkle
Snow Groomer,City,197.0,19.99,60.0,81.0,normale
Anna's Canoe Expedition,LEGO Frozen 2,108.0,19.99,64.0,61.0,normale
Diving Yacht,City,148.0,19.99,64.0,81.0,normale
Emmet's Thricycle!,THE LEGO MOVIE 2,174.0,14.99,84.0,100.0,normale
Garbage Truck,City,90.0,19.99,40.0,52.0,normale
Anna and Elsa's Storybook Adventures,LEGO Frozen 2,133.0,19.99,3.0,71.0,normale
Ariel's Storybook Adventures,Disney,105.0,19.99,3.0,61.0,normale
Belle's Storybook Adventures,Disney,111.0,19.99,3.0,71.0,normale
Aquaman,BrickHeadz,135.0,9.99,36.0,40.0,normale
Mountain Fugitives,City,88.0,9.99,36.0,61.0,normale
Jasmine's Petite Tower,Disney,49.0,9.99,24.0,35.0,normale
Poppy's Pod,Trolls World Tour,103.0,19.99,68.0,70.0,normale
Techno Reef Dance Party,Trolls World Tour,173.0,19.99,72.0,85.0,normale
The Zombie Cave,Minecraft,241.0,19.99,84.0,88.0,normale
Emma's Play Cube - Toy Store,Friends,49.0,9.99,5.0,42.0,normale
Andrea's Heart Box,Friends,84.0,7.99,32.0,38.0,normale
Speed Record Car,City,78.0,9.99,40.0,47.0,normale
Jack's Beach Buggy,Hidden Side,170.0,19.99,56.0,98.0,normale
The Wool Farm,Minecraft,260.0,19.99,80.0,81.0,normale
Duel on Mustafar ,Star Wars,208.0,19.99,80.0,84.0,normale
Rex's Rex-treme Offroader!,THE LEGO MOVIE 2,236.0,29.99,132.0,109.0,normale
Rocket Truck,Creator 3-in-1,198.0,19.99,148.0,90.0,avanserte
Imperial Patrol Battle Pack,Star Wars,99.0,14.99,36.0,43.0,normale
The Panda Nursery,Minecraft,204.0,19.99,48.0,76.0,normale
Police Pursuit,Technic,120.0,19.99,114.0,39.0,avanserte
Good Morning Sparkle Babies!,THE LEGO MOVIE 2,50.0,9.99,32.0,44.0,normale
Unstoppable Bike Chase,Minions,136.0,19.99,60.0,79.0,normale
Ice-Cream Truck,City,200.0,19.99,100.0,112.0,normale
Emma's Heart Box,Friends,85.0,7.99,32.0,38.0,normale
Mulan's Training Day,Disney,104.0,14.99,36.0,62.0,normale
Elsa and Olaf's Tea Party,DUPLO,17.0,19.99,12.0,13.0,enkle
Olivia's Play Cube - Researcher,Friends,40.0,9.99,5.0,34.0,normale
Mia's Play Cube - Veterinarian,Friends,40.0,9.99,5.0,32.0,normale
Emma's Play Cube - Photographer,Friends,36.0,9.99,5.0,31.0,normale
Basic Brick Set ,Classic,300.0,19.99,66.0,93.0,enkle
Underwater Robot,Creator 3-in-1,207.0,19.99,140.0,81.0,avanserte
Sunset Track Racer,Creator 3-in-1,221.0,19.99,144.0,81.0,avanserte
Andrea's Car & Stage,Friends,240.0,19.99,68.0,116.0,normale
Heart Box,DUPLO,80.0,19.99,2.0,39.0,enkle
Submarine Adventure,DUPLO,24.0,19.99,8.0,22.0,enkle
Fire Truck,DUPLO,21.0,19.99,10.0,16.0,enkle
Minnie's Birthday Party,Disney,21.0,19.99,12.0,18.0,normale
Train Tracks,DUPLO,23.0,19.99,16.0,9.0,enkle
Spinjitzu Zane,NINJAGO,109.0,9.99,32.0,21.0,normale
Juice Truck,Friends,103.0,19.99,52.0,75.0,normale
Kai's Fire Dragon,NINJAGO,81.0,19.99,60.0,48.0,normale
Safari Off-Roader,City,168.0,19.99,76.0,86.0,normale
Heartlake City Hair Salon,Friends,235.0,19.99,84.0,138.0,normale
T-16 Skyhopper vs Bantha Microfighters,Star Wars,198.0,19.99,84.0,100.0,normale
Kai's Mech Jet,NINJAGO,217.0,19.99,116.0,94.0,normale
Naboo Starfighter Microfighter,Star Wars,62.0,9.99,36.0,42.0,normale
Spinjitzu Slam - Zane,NINJAGO,63.0,9.99,40.0,37.0,normale
Stephanie's Play Cube - Baker,Friends,44.0,9.99,5.0,37.0,normale
Mia's Heart Box,Friends,83.0,7.99,32.0,38.0,normale
Olivia's Play Cube - Sweet Shop,Friends,47.0,9.99,5.0,40.0,normale
Desert Rally Racer,City,75.0,9.99,36.0,45.0,normale
Race Truck,Technic,227.0,19.99,35.0,59.0,avanserte
Hook Loader,Technic,176.0,14.99,104.0,48.0,avanserte
Andrea's Play Cube - Singer,Friends,49.0,9.99,5.0,32.0,normale
Rapunzel's Small Tower,Disney,44.0,9.99,24.0,28.0,normale
Mia's Forest Adventures ,Friends,134.0,14.99,44.0,77.0,normale
Nissan GT-R NISMO,Speed Champions,298.0,19.99,80.0,101.0,normale
Cyborg,BrickHeadz,108.0,9.99,32.0,48.0,normale
Cole - Spinjitzu Master,NINJAGO,73.0,9.99,32.0,40.0,normale
Zane - Dragon Master,NINJAGO,92.0,14.99,48.0,54.0,normale
Extreme Engines,Creator 3-in-1,109.0,9.99,76.0,53.0,avanserte
Mighty Micros: Star-Lord vs. Nebula,Marvel,86.0,9.99,7.0,45.0,normale
My First Fun Puzzle,DUPLO,15.0,19.99,9.0,15.0,enkle
Fire Dragon,Creator 3-in-1,234.0,19.99,132.0,80.0,avanserte
Zane - Spinjitzu Master,NINJAGO,69.0,9.99,32.0,38.0,normale
Andrea's Play Cube - Pet Shop,Friends,40.0,9.99,5.0,33.0,normale
Bubbles Playground Showdown,Powerpuff Girls,144.0,19.99,48.0,92.0,normale
Benny's Space Squad,THE LEGO MOVIE 2,68.0,9.99,32.0,53.0,normale
Drone Explorer,Creator 3-in-1,109.0,9.99,80.0,56.0,avanserte
Lloyd's Journey,NINJAGO,81.0,14.99,36.0,50.0,normale
Olivia's Hamster Playground,Friends,81.0,9.99,40.0,52.0,normale
Desk Organiser,DOTS,405.0,19.99,4.0,44.0,normale
Elsa,BrickHeadz,130.0,9.99,44.0,48.0,normale
Snowspeeder,Star Wars,91.0,19.99,56.0,64.0,normale
Hogwarts Room of Requirement,Harry Potter,193.0,19.99,60.0,90.0,normale
Dr. Wu's Lab: Baby Dinosaurs Breakout,Jurassic World,164.0,19.99,64.0,100.0,normale
Heartlake City Park Café,Friends,224.0,19.99,72.0,117.0,normale
Spider-Man vs. Doc Ock,Marvel,234.0,19.99,72.0,80.0,normale
Ferrari F8 Tributo,Speed Champions,275.0,19.99,72.0,92.0,normale
1985 Audi Sport Quattro S1,Speed Champions,250.0,19.99,76.0,102.0,normale
Bricks and Houses,Classic,270.0,19.99,77.0,121.0,enkle
The Mandalorian & The Child,Star Wars,295.0,19.99,88.0,123.0,normale
Emmet and Benny's 'Build and Fix' Workshop!,THE LEGO MOVIE 2,117.0,19.99,48.0,73.0,normale
Jewellery Box,DOTS,374.0,19.99,3.0,35.0,normale
Pineapple Pencil Holder,DOTS,351.0,19.99,4.0,39.0,normale
Duke Caboom's Stunt Show,Disney,120.0,19.99,48.0,62.0,normale
Golden Dragon Master,NINJAGO,92.0,14.99,48.0,54.0,normale
J.B.'s Submarine,Hidden Side,224.0,19.99,64.0,120.0,normale
Battle-Ready Batman and MetalBeard,Batman,168.0,19.99,64.0,98.0,normale
Baby Elephant Jungle Rescue,Friends,203.0,19.99,68.0,111.0,normale
Dragster,Technic,225.0,19.99,80.0,68.0,avanserte
Wrecking Ball,Overwatch,227.0,19.99,84.0,78.0,normale
Getaway Truck,Technic,128.0,19.99,110.0,33.0,avanserte
Kai - Dragon Master,NINJAGO,92.0,14.99,48.0,53.0,normale
Rey,Star Wars,119.0,9.99,36.0,50.0,normale
Batman vs. The Riddler Robbery,Batman,59.0,9.99,36.0,44.0,normale
World Fun,Classic,295.0,19.99,53.0,149.0,enkle
Baby Animals,DUPLO,9.0,9.99,8.0,9.0,enkle
Mining Power Splitter,City,127.0,19.99,60.0,85.0,normale
Buzz and Bo Peep's Playground Adventure,Disney,139.0,24.99,48.0,85.0,normale
Tracer vs. Widowmaker,Overwatch,129.0,14.99,48.0,74.0,normale
Spinjitzu Slam - Kai vs. Samurai,NINJAGO,164.0,19.99,76.0,67.0,normale
Outrider Dropship Attack,Marvel,124.0,14.99,52.0,63.0,normale
Han Solo,Star Wars,101.0,24.99,44.0,55.0,normale
Shuttle Transporter,Creator 3-in-1,341.0,24.99,268.0,122.0,avanserte
Alphabet Truck,DUPLO,36.0,24.99,1.0,35.0,enkle
Train Bridge and Tracks,DUPLO,26.0,24.99,16.0,10.0,enkle
Mining Team,City,82.0,9.99,32.0,64.0,normale
Elsa's Market Adventure,Disney,125.0,19.99,48.0,78.0,normale
Drone Chase,City,192.0,29.99,100.0,112.0,normale
Jay - Dragon Master,NINJAGO,92.0,14.99,48.0,53.0,normale
Airport,DUPLO,29.0,24.99,20.0,24.0,enkle
Minecraft Alex BigFig with Chicken,Minecraft,160.0,14.99,40.0,70.0,normale
Cherry Picker,Technic,155.0,9.99,40.0,51.0,avanserte
Molten Man Battle,Spider-Man,294.0,29.99,76.0,117.0,normale
Spider-Man Car Chase,Marvel,52.0,9.99,36.0,38.0,normale
J.B.'s Ghost Lab,Hidden Side,174.0,19.99,64.0,104.0,normale
Hoth Generator Attack,Star Wars,235.0,29.99,68.0,101.0,normale
Kylo Ren,Star Wars,130.0,9.99,40.0,50.0,normale
Kayak Adventure,City,84.0,9.99,36.0,48.0,normale
Plane,DUPLO,12.0,9.99,10.0,11.0,enkle
Airshow Jet,City,87.0,9.99,56.0,53.0,normale
Sith Infiltrator Microfighter,Star Wars,92.0,9.99,40.0,45.0,normale
Star-Lord,BrickHeadz,113.0,9.99,40.0,51.0,normale
Dock Side Fire,City,97.0,19.99,48.0,63.0,normale
Graveyard Mystery,Hidden Side,335.0,29.99,112.0,160.0,normale
Fire Helicopter Response,City,93.0,29.99,44.0,61.0,normale
Hungarian Horntail Triwizard Challenge,Harry Potter,265.0,29.99,52.0,101.0,normale
Elsa and the Reindeer Carriage,LEGO Frozen 2,116.0,29.99,72.0,78.0,normale
Racing Cars,City,190.0,29.99,84.0,101.0,normale
Ultrakatty & Warrior Lucy!,THE LEGO MOVIE 2,348.0,29.99,92.0,119.0,normale
Lonesome Flats Raft Adventure,Trolls World Tour,159.0,29.99,100.0,110.0,normale
Cinderella's Castle Celebration,Disney,168.0,29.99,100.0,96.0,normale
Wrecked Shrimp Boat,Hidden Side,310.0,29.99,108.0,150.0,normale
Jay and Lloyd's Velocity Racers,NINJAGO,322.0,29.99,148.0,142.0,normale
Underwater Loop,Friends,389.0,29.99,76.0,165.0,normale
Fire Chief Response Truck,City,201.0,29.99,84.0,98.0,normale
Windows of Creativity,Classic,450.0,29.99,85.0,153.0,enkle
Rover Testing Drive,City,202.0,29.99,96.0,98.0,normale
Shuricopter,NINJAGO,361.0,29.99,100.0,163.0,normale
The Blaze Bridge,Minecraft,372.0,29.99,108.0,127.0,normale
2018 Dodge Challenger SRT Demon and 1970 Dodge Charger R/T,Speed Champions,478.0,29.99,124.0,159.0,normale
Hanzo vs. Genji,Overwatch,197.0,19.99,60.0,84.0,normale
Resistance A-wing Starfighter,Star Wars,269.0,29.99,84.0,112.0,normale
Mia's Organic Food Market,Friends,115.0,19.99,56.0,70.0,normale
Poppy's Air Balloon Adventure,Trolls World Tour,250.0,29.99,68.0,121.0,normale
Bracelet Mega Pack,DOTS,300.0,24.99,2.0,39.0,normale
First Order TIE Fighter Microfighter,Star Wars,91.0,9.99,40.0,47.0,normale
Nya - Spinjitzu Master,NINJAGO,69.0,9.99,32.0,43.0,normale
Pteranodon Escape,Juniors,84.0,19.99,56.0,60.0,enkle
The Pillager Outpost,Minecraft,303.0,29.99,68.0,94.0,normale
The Menace of Mysterio,Marvel,163.0,29.99,128.0,97.0,normale
Minecraft Skeleton BigFig with Magma Cube,Minecraft,142.0,14.99,40.0,56.0,normale
Monster Truck,City,192.0,19.99,76.0,76.0,normale
Brick Box,DUPLO,65.0,29.99,20.0,46.0,enkle
Police Highway Arrest,City,185.0,29.99,108.0,98.0,normale
My First Animal Brick Box,DUPLO,34.0,29.99,9.0,29.0,enkle
Super Heroes Lab,DUPLO,30.0,29.99,16.0,23.0,enkle
Gamer's Market,NINJAGO,218.0,29.99,64.0,133.0,normale
Nature Glamping,Friends,241.0,29.99,72.0,110.0,normale
Empire Dragon,NINJAGO,286.0,29.99,80.0,118.0,normale
Olivia's Cupcake Cafe,Friends,335.0,29.99,100.0,185.0,normale
Race Boat Transporter,City,238.0,29.99,124.0,123.0,normale
Wild River Escape,City,126.0,19.99,56.0,71.0,normale
Service & Care Truck,Friends,247.0,19.99,84.0,123.0,normale
War Machine Buster,Marvel,362.0,34.99,64.0,122.0,normale
El Fuego's Stunt Truck,Hidden Side,428.0,39.99,156.0,198.0,normale
Anakin's Jedi Starfighter,Star Wars,247.0,19.99,84.0,111.0,normale
The Golden Dragon,NINJAGO,171.0,19.99,60.0,74.0,normale
Tatooine Battle Pack,Star Wars,97.0,14.99,36.0,53.0,normale
Obi-Wan's Hut,Star Wars,200.0,29.99,68.0,118.0,normale
Mythical Creatures,Creator 3-in-1,223.0,14.99,189.0,66.0,avanserte
Heart Box Friendship Pack,Friends,199.0,19.99,60.0,90.0,normale
RV Vacation,Disney,178.0,34.99,72.0,106.0,normale
Mighty Micros: Thor vs. Loki,Marvel,79.0,9.99,7.0,47.0,normale
Duel on Starkiller Base,Star Wars,191.0,19.99,68.0,83.0,normale
Stephanie's Bedroom,Friends,95.0,9.99,44.0,72.0,normale
Race Plane,Creator 3-in-1,333.0,29.99,200.0,134.0,avanserte
Action Battle Endor Assault,Star Wars,193.0,29.99,64.0,108.0,normale
Ski Speeder vs. First Order Walker Microfighters,Star Wars,216.0,19.99,92.0,94.0,normale
Anakin's Podracer  20th Anniversary Edition,Star Wars,279.0,29.99,84.0,110.0,normale
Spinjitzu Jay,NINJAGO,97.0,9.99,32.0,23.0,normale
Spinjitzu Cole,NINJAGO,117.0,9.99,32.0,26.0,normale
Dilophosaurus on the Loose,Jurassic World,168.0,19.99,60.0,88.0,normale
Minecraft Steve BigFig with Parrot,Minecraft,159.0,14.99,40.0,74.0,normale
Luke Skywalker's Landspeeder,Star Wars,236.0,29.99,72.0,104.0,normale
Jay - Spinjitzu Master,NINJAGO,68.0,9.99,32.0,39.0,normale
Spinjitzu Nya & Wu,NINJAGO,227.0,19.99,56.0,49.0,normale
Aragog's Lair,Harry Potter,157.0,14.99,56.0,82.0,normale
Anakin's Jedi Interceptor,Star Wars,248.0,29.99,68.0,100.0,normale
A-Wing vs. TIE Silencer Microfighters,Star Wars,188.0,19.99,72.0,88.0,normale
Velociraptor: Biplane Rescue Mission,Jurassic World,101.0,29.99,76.0,72.0,normale
Forbidden Forest: Umbridge's Encounter,Harry Potter,253.0,29.99,84.0,121.0,normale
Spiderjet vs. Venom Mech,Marvel,371.0,29.99,84.0,136.0,normale
El Fuego's Stunt Plane,Hidden Side,295.0,29.99,92.0,149.0,normale
Newbury Subway,Hidden Side,348.0,29.99,108.0,146.0,normale
Emma's Fashion Shop,Friends,343.0,29.99,112.0,152.0,normale
Panda Jungle Tree House,Friends,265.0,29.99,120.0,149.0,normale
Formula E Panasonic Jaguar Racing GEN2 Car & Jaguar I-PACE eTROPHY,Speed Champions,565.0,29.99,128.0,186.0,normale
BASH!,Technic,139.0,19.99,127.0,46.0,avanserte
Bakery,DUPLO,46.0,34.99,20.0,33.0,enkle
Police Station,DUPLO,38.0,29.99,22.0,25.0,enkle
Kai - Spinjitzu Master,NINJAGO,61.0,9.99,32.0,33.0,normale
First Order Specialists Battle Pack,Star Wars,108.0,14.99,36.0,48.0,normale
X-wing Starfighter Trench Run,Star Wars,132.0,29.99,64.0,65.0,normale
Supernatural Race Car,Hidden Side,244.0,29.99,80.0,115.0,normale
Spinjitzu Kai,NINJAGO,97.0,9.99,32.0,23.0,normale
Ariel's Underwater Concert,Juniors,92.0,14.99,40.0,55.0,enkle
Emmet and Lucy's Visitors from the DUPLO Planet,THE LEGO MOVIE 2,53.0,29.99,25.0,37.0,normale
Ford Fiesta M-Sport WRC,Speed Champions,203.0,14.99,60.0,88.0,normale
Off-Road Chase,City,37.0,6.99,20.0,28.0,normale
Queen Watevra's Build Whatever Box!,THE LEGO MOVIE 2,455.0,39.99,262.0,112.0,normale
Turtles Rescue Mission,Friends,225.0,19.99,72.0,125.0,normale
Parachute Arrest,City,218.0,39.99,120.0,139.0,normale
City Advent Calendar,City,234.0,29.99,3.0,161.0,normale
Pteranodon Chase,Jurassic World,126.0,19.99,44.0,68.0,normale
Dolphins Rescue Mission,Friends,363.0,39.99,116.0,192.0,normale
Spider-Man Bike Rescue,Marvel,235.0,19.99,92.0,98.0,normale
People Pack - Fun Fair,City,183.0,39.99,64.0,138.0,normale
Elsa's Jewellery Box,LEGO Frozen 2,300.0,39.99,96.0,89.0,normale
Ninja Tuner Car,NINJAGO,419.0,39.99,108.0,143.0,normale
Mars Research Shuttle,City,273.0,39.99,160.0,135.0,normale
The Knight Bus,Harry Potter,403.0,39.99,84.0,128.0,normale
Fire Fang,NINJAGO,463.0,39.99,88.0,175.0,normale
My First Emotions,DUPLO,28.0,19.99,9.0,24.0,enkle
Batman: The Attack of the Talons,Batman,155.0,19.99,60.0,82.0,normale
Buzz & Woody's Carnival Mania!,Disney,230.0,49.99,52.0,106.0,normale
Volcano Rock City Concert,Trolls World Tour,387.0,39.99,120.0,175.0,normale
Stephanie's Buggy & Trailer ,Friends,166.0,19.99,48.0,97.0,normale
Road Repair Truck,Juniors,73.0,9.99,32.0,50.0,enkle
Heartlake City Supermarket,Friends,140.0,29.99,68.0,90.0,normale
Katana V11,NINJAGO,257.0,19.99,84.0,111.0,normale
Elastigirl's Rooftop Pursuit,Juniors,95.0,19.99,64.0,77.0,enkle
Rescue Helicopter,Technic,325.0,39.99,181.0,81.0,avanserte
Belle's Story Time,Juniors,87.0,14.99,44.0,66.0,enkle
Thanos,BrickHeadz,105.0,9.99,32.0,37.0,normale
Spider-Man vs. Scorpion Street Showdown,Marvel,125.0,19.99,64.0,82.0,normale
City Advent Calendar,City,313.0,29.99,4.0,194.0,normale
Friends Advent Calendar,Friends,500.0,29.99,4.0,202.0,normale
Arctic Ice Crawler,City,200.0,24.99,92.0,80.0,normale
Burger Bar Fire Rescue,City,327.0,39.99,164.0,153.0,normale
My First Puzzle Pets,DUPLO,18.0,9.99,9.0,16.0,enkle
1968 Ford Mustang Fastback,Speed Champions,183.0,14.99,60.0,74.0,normale
Elite Praetorian Guard Battle Pack,Star Wars,109.0,14.99,40.0,52.0,normale
Wonder Woman vs. Cheetah,DC,371.0,39.99,84.0,130.0,normale
Jay's Storm Fighter,NINJAGO,490.0,39.99,140.0,195.0,normale
Forest Tractor,City,174.0,19.99,64.0,77.0,normale
Mia's Horse Trailer,Friends,216.0,29.99,76.0,119.0,normale
Andrea's Bedroom,Friends,85.0,9.99,44.0,60.0,normale
Mountain Police Chase,Juniors,115.0,19.99,64.0,85.0,enkle
Daredevil Stunt Plane,Creator 3-in-1,200.0,19.99,120.0,86.0,avanserte
Rocket Rally Car,Creator 3-in-1,241.0,19.99,148.0,104.0,avanserte
Dr. Fox Laboratory,Unikitty,359.0,29.99,132.0,163.0,enkle
Police Helicopter Chase,City,212.0,39.99,128.0,127.0,normale
Stephanie's Obstacle Course,Friends,337.0,39.99,100.0,168.0,normale
Baking Competition,Friends,361.0,39.99,104.0,157.0,normale
Golden Mech,NINJAGO,489.0,39.99,108.0,172.0,normale
Batman Batsub and the Underwater Clash,Batman,174.0,19.99,64.0,82.0,normale
Batmobile: Pursuit of The Joker,Batman,342.0,29.99,80.0,114.0,normale
Friends Advent Calendar,Friends,330.0,29.99,2.0,158.0,normale
Mojo Jojo Strikes,Powerpuff Girls,228.0,29.99,76.0,149.0,normale
Bricks and Gears,Classic,244.0,19.99,124.0,94.0,enkle
The Skull Arena,Minecraft,198.0,19.99,68.0,68.0,normale
Mia's Bedroom,Friends,86.0,9.99,48.0,63.0,normale
Han Solo's Landspeeder,Star Wars,345.0,29.99,96.0,126.0,normale
Chewbacca,Star Wars,149.0,9.99,40.0,52.0,normale
