Set_Name,Theme,Pieces,Price,Pages,Unique_Pieces,Complexity,Ratio_Unique_Pieces,Ratio_Pages_Pieces,Theme_Complexity_Score,Combined_Score
Cole's Speeder Car,NINJAGO,52.0,9.99,36.0,32.0,normale,0.6153846153846154,0.6923076923076923,2,1.1025641025641024
Ice Cream Cart,Friends,97.0,9.99,40.0,60.0,normale,0.6185567010309279,0.41237113402061853,2,1.0103092783505154
Puppy Playground,Friends,57.0,9.99,40.0,41.0,normale,0.7192982456140351,0.7017543859649122,2,1.1403508771929824
Police Dog Unit,City,67.0,9.99,40.0,48.0,normale,0.7164179104477612,0.5970149253731343,2,1.1044776119402984
Resistance Y-wing Microfighter,Star Wars,86.0,9.99,40.0,44.0,normale,0.5116279069767442,0.46511627906976744,2,0.9922480620155039
Street Sweeper,City,89.0,9.99,48.0,55.0,normale,0.6179775280898876,0.5393258426966292,2,1.0524344569288389
Mail Plane,City,74.0,9.99,52.0,55.0,normale,0.7432432432432432,0.7027027027027027,2,1.1486486486486487
Satellite Service Mission,City,84.0,9.99,56.0,52.0,normale,0.6190476190476191,0.6666666666666666,2,1.0952380952380951
Forest Fire,City,84.0,9.99,56.0,49.0,normale,0.5833333333333334,0.6666666666666666,2,1.0833333333333333
Jungle Raider,NINJAGO,127.0,9.99,60.0,61.0,normale,0.48031496062992124,0.47244094488188976,2,0.984251968503937
Unikitty Cloud Car,Unikitty,126.0,9.99,60.0,83.0,enkle,0.6587301587301587,0.47619047619047616,1,0.7116402116402116
My First Race Car,DUPLO,6.0,4.99,9.0,6.0,enkle,1.0,1.5,1,1.1666666666666667
Ocean Mini-Submarine,City,41.0,9.99,37.0,30.0,normale,0.7317073170731707,0.9024390243902439,2,1.2113821138211383
Olivia's Flower Garden,Friends,92.0,9.99,48.0,61.0,normale,0.6630434782608695,0.5217391304347826,2,1.0615942028985508
Aurora's Royal Carriage,Disney,62.0,9.99,28.0,35.0,normale,0.5645161290322581,0.45161290322580644,2,1.0053763440860215
Lloyd Avatar - Arcade Pod,NINJAGO,48.0,9.99,3.0,28.0,normale,0.5833333333333334,0.0625,2,0.8819444444444445
Moana's Ocean Adventure,Disney,46.0,9.99,36.0,39.0,normale,0.8478260869565217,0.782608695652174,2,1.210144927536232
The Taiga Adventure,Minecraft,74.0,9.99,40.0,48.0,normale,0.6486486486486487,0.5405405405405406,2,1.063063063063063
Kylo Ren's Shuttle Microfighter,Star Wars,72.0,9.99,40.0,40.0,normale,0.5555555555555556,0.5555555555555556,2,1.037037037037037
Thanos Mech,Marvel,152.0,9.99,56.0,62.0,normale,0.40789473684210525,0.3684210526315789,2,0.9254385964912281
Iron Man Mech,Marvel,148.0,9.99,64.0,61.0,normale,0.41216216216216217,0.43243243243243246,2,0.9481981981981983
Spider-Man Mech,Marvel,152.0,9.99,68.0,62.0,normale,0.40789473684210525,0.4473684210526316,2,0.9517543859649122
Propeller Plane,Creator 3-in-1,128.0,9.99,112.0,50.0,avanserte,0.390625,0.875,3,1.421875
Sports Car,Creator 3-in-1,134.0,9.99,120.0,60.0,avanserte,0.44776119402985076,0.8955223880597015,3,1.4477611940298507
Batboat The Penguin Pursuit!,Batman,54.0,9.99,44.0,41.0,normale,0.7592592592592593,0.8148148148148148,2,1.191358024691358
Bricks and Ideas,Classic,123.0,9.99,42.0,59.0,enkle,0.4796747967479675,0.34146341463414637,1,0.6070460704607047
Mighty Micros: Scarlet Spider vs. Sandman,Marvel,89.0,9.99,7.0,49.0,normale,0.550561797752809,0.07865168539325842,2,0.8764044943820224
Farm Animals,DUPLO,16.0,9.99,8.0,13.0,enkle,0.8125,0.5,1,0.7708333333333334
My First Mickey Build,Disney,9.0,9.99,10.0,8.0,normale,0.8888888888888888,1.1111111111111112,2,1.3333333333333333
Arctic Exploration Team,City,70.0,9.99,28.0,47.0,normale,0.6714285714285714,0.4,2,1.0238095238095237
BigFig Pig with Baby Zombie,Minecraft,159.0,14.99,40.0,47.0,normale,0.29559748427672955,0.25157232704402516,2,0.8490566037735849
Dune Buggy,Creator 3-in-1,147.0,12.99,120.0,65.0,avanserte,0.4421768707482993,0.8163265306122449,3,1.419501133786848
BigFig Creeper and Ocelot,Minecraft,184.0,14.99,48.0,65.0,normale,0.3532608695652174,0.2608695652173913,2,0.8713768115942028
Monster Truck,Creator 3-in-1,163.0,14.99,136.0,54.0,avanserte,0.3312883435582822,0.8343558282208589,3,1.3885480572597135
Unikitty's Sweetest Friends EVER!,THE LEGO MOVIE 2,76.0,9.99,36.0,50.0,normale,0.6578947368421053,0.47368421052631576,2,1.0438596491228072
Olivia's Heart Box,Friends,85.0,7.99,32.0,38.0,normale,0.4470588235294118,0.3764705882352941,2,0.9411764705882352
Buggy,Technic,117.0,12.99,48.0,47.0,avanserte,0.4017094017094017,0.41025641025641024,3,1.2706552706552705
Chevrolet Camaro ZL1 Race Car,Speed Champions,198.0,14.99,60.0,81.0,normale,0.4090909090909091,0.30303030303030304,2,0.904040404040404
McLaren Senna,Speed Champions,219.0,14.99,64.0,92.0,normale,0.4200913242009132,0.2922374429223744,2,0.904109589041096
Futuristic Flyer,Creator 3-in-1,157.0,14.99,136.0,65.0,avanserte,0.4140127388535032,0.8662420382165605,3,1.4267515923566878
Deep Sea Creatures,Creator 3-in-1,230.0,14.99,176.0,83.0,avanserte,0.36086956521739133,0.7652173913043478,3,1.3753623188405797
Gamora,BrickHeadz,136.0,9.99,48.0,51.0,normale,0.375,0.35294117647058826,2,0.9093137254901961
Mini CLAAS XERION,Technic,130.0,12.99,56.0,45.0,avanserte,0.34615384615384615,0.4307692307692308,3,1.258974358974359
1974 Porsche 911 Turbo 3.0,Speed Champions,180.0,14.99,80.0,75.0,normale,0.4166666666666667,0.4444444444444444,2,0.9537037037037037
Sith Troopers Battle Pack,Star Wars,105.0,14.99,40.0,51.0,normale,0.4857142857142857,0.38095238095238093,2,0.9555555555555556
Mandalorian Battle Pack,Star Wars,102.0,14.99,44.0,59.0,normale,0.5784313725490197,0.43137254901960786,2,1.0032679738562091
Playroom,DUPLO,17.0,14.99,2.0,16.0,enkle,0.9411764705882353,0.11764705882352941,1,0.6862745098039215
Death Star Cannon,Star Wars,159.0,19.99,80.0,79.0,normale,0.4968553459119497,0.5031446540880503,2,1.0
Rainbow Fun,Classic,85.0,4.99,37.0,42.0,enkle,0.49411764705882355,0.43529411764705883,1,0.6431372549019608
Han Solo,Star Wars,141.0,9.99,44.0,51.0,normale,0.3617021276595745,0.3120567375886525,2,0.8912529550827424
Arctic Ice Glider,City,50.0,6.99,28.0,30.0,normale,0.6,0.56,2,1.0533333333333335
Olaf,LEGO Frozen 2,122.0,14.99,52.0,61.0,normale,0.5,0.4262295081967213,2,0.9754098360655737
Spinjitzu Slam - Jay,NINJAGO,72.0,9.99,44.0,37.0,normale,0.5138888888888888,0.6111111111111112,2,1.0416666666666667
Emma's Summer Heart Box,Friends,86.0,7.99,36.0,45.0,normale,0.5232558139534884,0.4186046511627907,2,0.9806201550387597
Rainbow Jewellery Stand,DOTS,213.0,14.99,4.0,42.0,normale,0.19718309859154928,0.018779342723004695,2,0.7386541471048513
Bedroom,DUPLO,16.0,14.99,2.0,16.0,enkle,1.0,0.125,1,0.7083333333333334
Animal Picture Holders,DOTS,423.0,14.99,4.0,54.0,normale,0.1276595744680851,0.009456264775413711,2,0.7123719464144996
Stephanie's Heart Box,Friends,85.0,7.99,32.0,36.0,normale,0.4235294117647059,0.3764705882352941,2,0.9333333333333332
Andrea's Summer Heart Box,Friends,83.0,7.99,36.0,46.0,normale,0.5542168674698795,0.43373493975903615,2,0.9959839357429718
Cole - Dragon Master,NINJAGO,92.0,14.99,48.0,54.0,normale,0.5869565217391305,0.5217391304347826,2,1.036231884057971
The Samurai Mech,NINJAGO,154.0,14.99,48.0,71.0,normale,0.461038961038961,0.3116883116883117,2,0.9242424242424242
Introducing Queen Watevra Wa'Nabi,THE LEGO MOVIE 2,115.0,19.99,48.0,82.0,normale,0.7130434782608696,0.41739130434782606,2,1.0434782608695652
Ferrari F40 Competizione,Speed Champions,198.0,14.99,56.0,72.0,normale,0.36363636363636365,0.2828282828282828,2,0.882154882154882
Helicopter Adventure,Creator 3-in-1,114.0,9.99,92.0,68.0,avanserte,0.5964912280701754,0.8070175438596491,3,1.4678362573099415
Spinjitzu Slam - Lloyd,NINJAGO,70.0,9.99,44.0,34.0,normale,0.4857142857142857,0.6285714285714286,2,1.0380952380952382
Mia's Play Cube - Cinema,Friends,37.0,9.99,5.0,31.0,normale,0.8378378378378378,0.13513513513513514,2,0.990990990990991
Monastery Training,NINJAGO,122.0,9.99,40.0,65.0,normale,0.5327868852459017,0.32786885245901637,2,0.953551912568306
Systar Party Crew,THE LEGO MOVIE 2,196.0,19.99,80.0,104.0,normale,0.5306122448979592,0.40816326530612246,2,0.979591836734694
Party Time,Unikitty,214.0,19.99,80.0,119.0,enkle,0.5560747663551402,0.37383177570093457,1,0.6433021806853583
Mulan's Storybook Adventures,Disney,124.0,19.99,3.0,72.0,normale,0.5806451612903226,0.024193548387096774,2,0.8682795698924731
Toy Story Train,Disney,21.0,19.99,8.0,19.0,normale,0.9047619047619048,0.38095238095238093,2,1.0952380952380951
Creative Suitcase,Classic,213.0,19.99,36.0,89.0,enkle,0.41784037558685444,0.16901408450704225,1,0.5289514866979655
Carnival Thrill Coaster,Disney,98.0,19.99,44.0,56.0,normale,0.5714285714285714,0.4489795918367347,2,1.0068027210884354
Expecto Patronum,Harry Potter,121.0,19.99,48.0,55.0,normale,0.45454545454545453,0.39669421487603307,2,0.9504132231404959
Vulture's Trucker Robbery,Marvel,93.0,19.99,48.0,62.0,normale,0.6666666666666666,0.5161290322580645,2,1.060931899641577
Captain America: Outriders Attack,Marvel,167.0,19.99,52.0,75.0,normale,0.4491017964071856,0.31137724550898205,2,0.9201596806387226
Cole's Dirt Bike,NINJAGO,212.0,19.99,56.0,97.0,normale,0.45754716981132076,0.2641509433962264,2,0.9072327044025158
The Rise of Voldemort,Harry Potter,184.0,19.99,56.0,102.0,normale,0.5543478260869565,0.30434782608695654,2,0.9528985507246377
Mia's Foal Stable ,Friends,118.0,19.99,64.0,66.0,normale,0.559322033898305,0.5423728813559322,2,1.0338983050847457
Welcome to the Hidden Side,Hidden Side,189.0,19.99,68.0,103.0,normale,0.544973544973545,0.35978835978835977,2,0.9682539682539683
The Chicken Coop,Minecraft,198.0,19.99,72.0,90.0,normale,0.45454545454545453,0.36363636363636365,2,0.9393939393939394
The End Battle,Minecraft,222.0,19.99,72.0,91.0,normale,0.4099099099099099,0.32432432432432434,2,0.9114114114114115
Construction Bulldozer,City,126.0,19.99,84.0,81.0,normale,0.6428571428571429,0.6666666666666666,2,1.103174603174603
Avengers Speeder Bike Attack,Marvel,226.0,19.99,104.0,97.0,normale,0.42920353982300885,0.46017699115044247,2,0.963126843657817
My First Ladybird,DUPLO,6.0,4.99,9.0,5.0,enkle,0.8333333333333334,1.5,1,1.1111111111111112
My First Car Creations,DUPLO,34.0,19.99,10.0,31.0,enkle,0.9117647058823529,0.29411764705882354,1,0.7352941176470589
Snow Groomer,City,197.0,19.99,60.0,81.0,normale,0.41116751269035534,0.30456852791878175,2,0.9052453468697124
Anna's Canoe Expedition,LEGO Frozen 2,108.0,19.99,64.0,61.0,normale,0.5648148148148148,0.5925925925925926,2,1.0524691358024691
Diving Yacht,City,148.0,19.99,64.0,81.0,normale,0.5472972972972973,0.43243243243243246,2,0.9932432432432433
Emmet's Thricycle!,THE LEGO MOVIE 2,174.0,14.99,84.0,100.0,normale,0.5747126436781609,0.4827586206896552,2,1.0191570881226053
Garbage Truck,City,90.0,19.99,40.0,52.0,normale,0.5777777777777777,0.4444444444444444,2,1.0074074074074073
Anna and Elsa's Storybook Adventures,LEGO Frozen 2,133.0,19.99,3.0,71.0,normale,0.5338345864661654,0.022556390977443608,2,0.8521303258145364
Ariel's Storybook Adventures,Disney,105.0,19.99,3.0,61.0,normale,0.580952380952381,0.02857142857142857,2,0.8698412698412699
Belle's Storybook Adventures,Disney,111.0,19.99,3.0,71.0,normale,0.6396396396396397,0.02702702702702703,2,0.888888888888889
Aquaman,BrickHeadz,135.0,9.99,36.0,40.0,normale,0.2962962962962963,0.26666666666666666,2,0.854320987654321
Mountain Fugitives,City,88.0,9.99,36.0,61.0,normale,0.6931818181818182,0.4090909090909091,2,1.0340909090909092
Jasmine's Petite Tower,Disney,49.0,9.99,24.0,35.0,normale,0.7142857142857143,0.4897959183673469,2,1.0680272108843536
Poppy's Pod,Trolls World Tour,103.0,19.99,68.0,70.0,normale,0.6796116504854369,0.6601941747572816,2,1.1132686084142396
Techno Reef Dance Party,Trolls World Tour,173.0,19.99,72.0,85.0,normale,0.4913294797687861,0.4161849710982659,2,0.9691714836223507
The Zombie Cave,Minecraft,241.0,19.99,84.0,88.0,normale,0.3651452282157676,0.34854771784232363,2,0.9045643153526971
Emma's Play Cube - Toy Store,Friends,49.0,9.99,5.0,42.0,normale,0.8571428571428571,0.10204081632653061,2,0.9863945578231292
Andrea's Heart Box,Friends,84.0,7.99,32.0,38.0,normale,0.4523809523809524,0.38095238095238093,2,0.9444444444444443
Speed Record Car,City,78.0,9.99,40.0,47.0,normale,0.6025641025641025,0.5128205128205128,2,1.0384615384615385
Jack's Beach Buggy,Hidden Side,170.0,19.99,56.0,98.0,normale,0.5764705882352941,0.32941176470588235,2,0.9686274509803922
The Wool Farm,Minecraft,260.0,19.99,80.0,81.0,normale,0.31153846153846154,0.3076923076923077,2,0.8730769230769231
Duel on Mustafar ,Star Wars,208.0,19.99,80.0,84.0,normale,0.40384615384615385,0.38461538461538464,2,0.9294871794871794
Rex's Rex-treme Offroader!,THE LEGO MOVIE 2,236.0,29.99,132.0,109.0,normale,0.461864406779661,0.559322033898305,2,1.0070621468926555
Rocket Truck,Creator 3-in-1,198.0,19.99,148.0,90.0,avanserte,0.45454545454545453,0.7474747474747475,3,1.4006734006734007
Imperial Patrol Battle Pack,Star Wars,99.0,14.99,36.0,43.0,normale,0.43434343434343436,0.36363636363636365,2,0.9326599326599326
The Panda Nursery,Minecraft,204.0,19.99,48.0,76.0,normale,0.37254901960784315,0.23529411764705882,2,0.869281045751634
Police Pursuit,Technic,120.0,19.99,114.0,39.0,avanserte,0.325,0.95,3,1.425
Good Morning Sparkle Babies!,THE LEGO MOVIE 2,50.0,9.99,32.0,44.0,normale,0.88,0.64,2,1.1733333333333333
Unstoppable Bike Chase,Minions,136.0,19.99,60.0,79.0,normale,0.5808823529411765,0.4411764705882353,2,1.0073529411764706
Ice-Cream Truck,City,200.0,19.99,100.0,112.0,normale,0.56,0.5,2,1.02
Emma's Heart Box,Friends,85.0,7.99,32.0,38.0,normale,0.4470588235294118,0.3764705882352941,2,0.9411764705882352
Mulan's Training Day,Disney,104.0,14.99,36.0,62.0,normale,0.5961538461538461,0.34615384615384615,2,0.9807692307692308
Elsa and Olaf's Tea Party,DUPLO,17.0,19.99,12.0,13.0,enkle,0.7647058823529411,0.7058823529411765,1,0.823529411764706
Olivia's Play Cube - Researcher,Friends,40.0,9.99,5.0,34.0,normale,0.85,0.125,2,0.9916666666666667
Mia's Play Cube - Veterinarian,Friends,40.0,9.99,5.0,32.0,normale,0.8,0.125,2,0.975
Emma's Play Cube - Photographer,Friends,36.0,9.99,5.0,31.0,normale,0.8611111111111112,0.1388888888888889,2,1.0
Basic Brick Set ,Classic,300.0,19.99,66.0,93.0,enkle,0.31,0.22,1,0.51
Underwater Robot,Creator 3-in-1,207.0,19.99,140.0,81.0,avanserte,0.391304347826087,0.6763285024154589,3,1.355877616747182
Sunset Track Racer,Creator 3-in-1,221.0,19.99,144.0,81.0,avanserte,0.3665158371040724,0.6515837104072398,3,1.339366515837104
Andrea's Car & Stage,Friends,240.0,19.99,68.0,116.0,normale,0.48333333333333334,0.2833333333333333,2,0.9222222222222222
Heart Box,DUPLO,80.0,19.99,2.0,39.0,enkle,0.4875,0.025,1,0.5041666666666667
Submarine Adventure,DUPLO,24.0,19.99,8.0,22.0,enkle,0.9166666666666666,0.3333333333333333,1,0.75
Fire Truck,DUPLO,21.0,19.99,10.0,16.0,enkle,0.7619047619047619,0.47619047619047616,1,0.746031746031746
Minnie's Birthday Party,Disney,21.0,19.99,12.0,18.0,normale,0.8571428571428571,0.5714285714285714,2,1.1428571428571428
Train Tracks,DUPLO,23.0,19.99,16.0,9.0,enkle,0.391304347826087,0.6956521739130435,1,0.6956521739130435
Spinjitzu Zane,NINJAGO,109.0,9.99,32.0,21.0,normale,0.1926605504587156,0.29357798165137616,2,0.8287461773700305
Juice Truck,Friends,103.0,19.99,52.0,75.0,normale,0.7281553398058253,0.5048543689320388,2,1.0776699029126213
Kai's Fire Dragon,NINJAGO,81.0,19.99,60.0,48.0,normale,0.5925925925925926,0.7407407407407407,2,1.111111111111111
Safari Off-Roader,City,168.0,19.99,76.0,86.0,normale,0.5119047619047619,0.4523809523809524,2,0.9880952380952381
Heartlake City Hair Salon,Friends,235.0,19.99,84.0,138.0,normale,0.5872340425531914,0.3574468085106383,2,0.9815602836879433
T-16 Skyhopper vs Bantha Microfighters,Star Wars,198.0,19.99,84.0,100.0,normale,0.5050505050505051,0.42424242424242425,2,0.9764309764309763
Kai's Mech Jet,NINJAGO,217.0,19.99,116.0,94.0,normale,0.43317972350230416,0.5345622119815668,2,0.989247311827957
Naboo Starfighter Microfighter,Star Wars,62.0,9.99,36.0,42.0,normale,0.6774193548387096,0.5806451612903226,2,1.086021505376344
Spinjitzu Slam - Zane,NINJAGO,63.0,9.99,40.0,37.0,normale,0.5873015873015873,0.6349206349206349,2,1.0740740740740742
Stephanie's Play Cube - Baker,Friends,44.0,9.99,5.0,37.0,normale,0.8409090909090909,0.11363636363636363,2,0.9848484848484849
Mia's Heart Box,Friends,83.0,7.99,32.0,38.0,normale,0.4578313253012048,0.3855421686746988,2,0.9477911646586344
Olivia's Play Cube - Sweet Shop,Friends,47.0,9.99,5.0,40.0,normale,0.851063829787234,0.10638297872340426,2,0.9858156028368795
Desert Rally Racer,City,75.0,9.99,36.0,45.0,normale,0.6,0.48,2,1.0266666666666666
Race Truck,Technic,227.0,19.99,35.0,59.0,avanserte,0.2599118942731278,0.15418502202643172,3,1.1380323054331865
Hook Loader,Technic,176.0,14.99,104.0,48.0,avanserte,0.2727272727272727,0.5909090909090909,3,1.2878787878787878
Andrea's Play Cube - Singer,Friends,49.0,9.99,5.0,32.0,normale,0.6530612244897959,0.10204081632653061,2,0.9183673469387754
Rapunzel's Small Tower,Disney,44.0,9.99,24.0,28.0,normale,0.6363636363636364,0.5454545454545454,2,1.0606060606060606
Mia's Forest Adventures ,Friends,134.0,14.99,44.0,77.0,normale,0.5746268656716418,0.3283582089552239,2,0.9676616915422885
Nissan GT-R NISMO,Speed Champions,298.0,19.99,80.0,101.0,normale,0.3389261744966443,0.2684563758389262,2,0.8691275167785234
Cyborg,BrickHeadz,108.0,9.99,32.0,48.0,normale,0.4444444444444444,0.2962962962962963,2,0.9135802469135802
Cole - Spinjitzu Master,NINJAGO,73.0,9.99,32.0,40.0,normale,0.547945205479452,0.4383561643835616,2,0.9954337899543378
Zane - Dragon Master,NINJAGO,92.0,14.99,48.0,54.0,normale,0.5869565217391305,0.5217391304347826,2,1.036231884057971
Extreme Engines,Creator 3-in-1,109.0,9.99,76.0,53.0,avanserte,0.48623853211009177,0.6972477064220184,3,1.3944954128440366
Mighty Micros: Star-Lord vs. Nebula,Marvel,86.0,9.99,7.0,45.0,normale,0.5232558139534884,0.08139534883720931,2,0.868217054263566
My First Fun Puzzle,DUPLO,15.0,19.99,9.0,15.0,enkle,1.0,0.6,1,0.8666666666666667
Fire Dragon,Creator 3-in-1,234.0,19.99,132.0,80.0,avanserte,0.3418803418803419,0.5641025641025641,3,1.3019943019943019
Zane - Spinjitzu Master,NINJAGO,69.0,9.99,32.0,38.0,normale,0.5507246376811594,0.463768115942029,2,1.0048309178743962
Andrea's Play Cube - Pet Shop,Friends,40.0,9.99,5.0,33.0,normale,0.825,0.125,2,0.9833333333333334
Bubbles Playground Showdown,Powerpuff Girls,144.0,19.99,48.0,92.0,normale,0.6388888888888888,0.3333333333333333,2,0.9907407407407408
Benny's Space Squad,THE LEGO MOVIE 2,68.0,9.99,32.0,53.0,normale,0.7794117647058824,0.47058823529411764,2,1.0833333333333333
Drone Explorer,Creator 3-in-1,109.0,9.99,80.0,56.0,avanserte,0.5137614678899083,0.7339449541284404,3,1.4159021406727827
Lloyd's Journey,NINJAGO,81.0,14.99,36.0,50.0,normale,0.6172839506172839,0.4444444444444444,2,1.0205761316872428
Olivia's Hamster Playground,Friends,81.0,9.99,40.0,52.0,normale,0.6419753086419753,0.49382716049382713,2,1.045267489711934
Desk Organiser,DOTS,405.0,19.99,4.0,44.0,normale,0.10864197530864197,0.009876543209876543,2,0.7061728395061729
Elsa,BrickHeadz,130.0,9.99,44.0,48.0,normale,0.36923076923076925,0.3384615384615385,2,0.9025641025641026
Snowspeeder,Star Wars,91.0,19.99,56.0,64.0,normale,0.7032967032967034,0.6153846153846154,2,1.1062271062271063
Hogwarts Room of Requirement,Harry Potter,193.0,19.99,60.0,90.0,normale,0.46632124352331605,0.31088082901554404,2,0.92573402417962
Dr. Wu's Lab: Baby Dinosaurs Breakout,Jurassic World,164.0,19.99,64.0,100.0,normale,0.6097560975609756,0.3902439024390244,2,1.0
Heartlake City Park Café,Friends,224.0,19.99,72.0,117.0,normale,0.5223214285714286,0.32142857142857145,2,0.9479166666666666
Spider-Man vs. Doc Ock,Marvel,234.0,19.99,72.0,80.0,normale,0.3418803418803419,0.3076923076923077,2,0.8831908831908831
Ferrari F8 Tributo,Speed Champions,275.0,19.99,72.0,92.0,normale,0.33454545454545453,0.26181818181818184,2,0.8654545454545456
1985 Audi Sport Quattro S1,Speed Champions,250.0,19.99,76.0,102.0,normale,0.408,0.304,2,0.9039999999999999
Bricks and Houses,Classic,270.0,19.99,77.0,121.0,enkle,0.44814814814814813,0.2851851851851852,1,0.5777777777777778
The Mandalorian & The Child,Star Wars,295.0,19.99,88.0,123.0,normale,0.41694915254237286,0.2983050847457627,2,0.9050847457627119
Emmet and Benny's 'Build and Fix' Workshop!,THE LEGO MOVIE 2,117.0,19.99,48.0,73.0,normale,0.6239316239316239,0.41025641025641024,2,1.0113960113960114
Jewellery Box,DOTS,374.0,19.99,3.0,35.0,normale,0.09358288770053476,0.008021390374331552,2,0.7005347593582888
Pineapple Pencil Holder,DOTS,351.0,19.99,4.0,39.0,normale,0.1111111111111111,0.011396011396011397,2,0.7075023741690408
Duke Caboom's Stunt Show,Disney,120.0,19.99,48.0,62.0,normale,0.5166666666666667,0.4,2,0.9722222222222223
Golden Dragon Master,NINJAGO,92.0,14.99,48.0,54.0,normale,0.5869565217391305,0.5217391304347826,2,1.036231884057971
J.B.'s Submarine,Hidden Side,224.0,19.99,64.0,120.0,normale,0.5357142857142857,0.2857142857142857,2,0.9404761904761904
Battle-Ready Batman and MetalBeard,Batman,168.0,19.99,64.0,98.0,normale,0.5833333333333334,0.38095238095238093,2,0.9880952380952381
Baby Elephant Jungle Rescue,Friends,203.0,19.99,68.0,111.0,normale,0.5467980295566502,0.33497536945812806,2,0.9605911330049262
Dragster,Technic,225.0,19.99,80.0,68.0,avanserte,0.3022222222222222,0.35555555555555557,3,1.2192592592592593
Wrecking Ball,Overwatch,227.0,19.99,84.0,78.0,normale,0.3436123348017621,0.3700440528634361,2,0.9045521292217327
Getaway Truck,Technic,128.0,19.99,110.0,33.0,avanserte,0.2578125,0.859375,3,1.3723958333333333
Kai - Dragon Master,NINJAGO,92.0,14.99,48.0,53.0,normale,0.5760869565217391,0.5217391304347826,2,1.0326086956521738
Rey,Star Wars,119.0,9.99,36.0,50.0,normale,0.42016806722689076,0.3025210084033613,2,0.907563025210084
Batman vs. The Riddler Robbery,Batman,59.0,9.99,36.0,44.0,normale,0.7457627118644068,0.6101694915254238,2,1.11864406779661
World Fun,Classic,295.0,19.99,53.0,149.0,enkle,0.5050847457627119,0.17966101694915254,1,0.5615819209039549
Baby Animals,DUPLO,9.0,9.99,8.0,9.0,enkle,1.0,0.8888888888888888,1,0.9629629629629629
Mining Power Splitter,City,127.0,19.99,60.0,85.0,normale,0.6692913385826772,0.47244094488188976,2,1.047244094488189
Buzz and Bo Peep's Playground Adventure,Disney,139.0,24.99,48.0,85.0,normale,0.6115107913669064,0.34532374100719426,2,0.985611510791367
Tracer vs. Widowmaker,Overwatch,129.0,14.99,48.0,74.0,normale,0.5736434108527132,0.37209302325581395,2,0.9819121447028424
Spinjitzu Slam - Kai vs. Samurai,NINJAGO,164.0,19.99,76.0,67.0,normale,0.40853658536585363,0.4634146341463415,2,0.9573170731707318
Outrider Dropship Attack,Marvel,124.0,14.99,52.0,63.0,normale,0.5080645161290323,0.41935483870967744,2,0.9758064516129034
